日期,求和项:收盘
2014年1月8日,5019.88
2014年1月9日,4944.61
2014年1月10日,4860.31
2014年1月13日,4828.98
2014年1月14日,4901.99
2014年1月15日,4962.51
2014年1月16日,4931.82
2014年1月17日,4866.12
2014年1月20日,4816.95
2014年1月21日,4873.89
2014年1月22日,4985.27
2014年1月23日,5020.46
2014年1月24日,5103.42
2014年1月27日,5082.95
2014年1月28日,5046.24
2014年1月29日,5086.29
2014年1月30日,5030.2
2014年2月7日,5111.62
2014年2月10日,5292.07
2014年2月11日,5268.3
2014年2月12日,5327.76
2014年2月13日,5254.31
2014年2月14日,5330.34
2014年2月17日,5412.61
2014年2月18日,5386.63
2014年2月19日,5413.6
2014年2月20日,5300.11
2014年2月21日,5280.11
2014年2月24日,5265.81
2014年2月25日,5046.87
2014年2月26日,5059.19
2014年2月27日,4941.47
2014年2月28日,5029.2
2014年3月3日,5098.2
2014年3月4日,5049.99
2014年3月5日,5044.41
2014年3月6日,5021.32
2014年3月7日,4995.1
2014年3月10日,4818.26
2014年3月11日,4813.81
2014年3月12日,4792.52
2014年3月13日,4863.89
2014年3月14日,4834.75
2014年3月17日,4919.85
2014年3月18日,4932.34
2014年3月19日,4859.6
2014年3月20日,4708.72
2014年3月21日,4801.26
2014年3月24日,4786.35
2014年3月25日,4779.61
2014年3月26日,4810.63
2014年3月27日,4713.44
2014年3月28日,4610.32
2014年3月31日,4595.02
2014年4月1日,4678.19
2014年4月2日,4684.21
2014年4月3日,4701.69
2014年4月4日,4761.04
2014年4月8日,4809.48
2014年4月9日,4844.38
2014年4月10日,4861.79
2014年4月11日,4830.51
2014年4月14日,4854.64
2014年4月15日,4804.72
2014年4月16日,4799.91
2014年4月17日,4817.31
2014年4月18日,4824.03
2014年4月21日,4752.89
2014年4月22日,4726.44
2014年4月23日,4728.16
2014年4月24日,4669.26
2014年4月25日,4584.18
2014年4月28日,4478.17
2014年4月29日,4528.6
2014年4月30日,4552.27
2014年5月5日,4598.17
2014年5月6日,4645.01
2014年5月7日,4558.12
2014年5月8日,4541.25
2014年5月9日,4496.46
2014年5月12日,4610.82
2014年5月13日,4600.15
2014年5月14日,4603.16
2014年5月15日,4503.61
2014年5月16日,4499.77
2014年5月19日,4465.45
2014年5月20日,4479.8
2014年5月21日,4537.45
2014年5月22日,4537.2
2014年5月23日,4584.83
2014年5月26日,4626.21
2014年5月27日,4610.85
2014年5月28日,4688.58
2014年5月29日,4635.4
2014年5月30日,4651.8
2014年6月3日,4655.33
2014年6月4日,4595.69
2014年6月5日,4645.29
2014年6月6日,4652.06
2014年6月9日,4622.08
2014年6月10日,4691.19
2014年6月11日,4706.57
2014年6月12日,4693.72
2014年6月13日,4745.71
2014年6月16日,4781.89
2014年6月17日,4728.66
2014年6月18日,4706.47
2014年6月19日,4583.37
2014年6月20日,4631.57
2014年6月23日,4671.12
