日期,求和项:收盘
2014年5月9日,3716.02
2014年5月12日,3812.76
2014年5月13日,3806.89
2014年5月14日,3803.8
2014年5月15日,3732.34
2014年5月16日,3726.66
2014年5月19日,3705.36
2014年5月20日,3715.71
2014年5月21日,3747.33
2014年5月22日,3746.14
2014年5月23日,3786.56
2014年5月26日,3827.49
2014年5月27日,3818.32
2014年5月28日,3861.59
2014年5月29日,3821.87
2014年5月30日,3829.24
2014年6月3日,3822.72
2014年6月4日,3789.29
2014年6月5日,3832.06
2014年6月6日,3818.33
2014年6月9日,3797.43
2014年6月10日,3840.02
2014年6月11日,3858.05
2014年6月12日,3850.11
2014年6月13日,3891.56
2014年6月16日,3914.98
2014年6月17日,3879.34
2014年6月18日,3858.1
2014年6月19日,3755.69
2014年6月20日,3789.34
2014年6月23日,3815.88
2014年6月24日,3839.2
2014年6月25日,3814.03
2014年6月26日,3861.95
2014年6月27日,3889.32
2014年6月30日,3924.9
2014年7月1日,3951.73
2014年7月2日,3979.31
2014年7月3日,4019.65
2014年7月4日,4004.56
2014年7月7日,4014.49
2014年7月8日,4039.71
2014年7月9日,3982.4
2014年7月10日,3982.2
2014年7月11日,4029.75
2014年7月14日,4090.8
2014年7月15日,4093.11
2014年7月16日,4062.12
2014年7月17日,4031.44
2014年7月18日,4042.52
2014年7月21日,4030.24
2014年7月22日,4083.29
2014年7月23日,4057.11
2014年7月24日,4054.22
2014年7月25日,4089.8
2014年7月28日,4168.37
2014年7月29日,4207.86
2014年7月30日,4214.84
2014年7月31日,4257.05
2014年8月1日,4210.22
2014年8月4日,4278.85
2014年8月5日,4300.12
2014年8月6日,4328.6
2014年8月7日,4286.09
2014年8月8日,4311.7
2014年8月11日,4377.02
2014年8月12日,4399.81
2014年8月13日,4401.81
2014年8月14日,4373.5
2014年8月15日,4423.64
2014年8月18日,4483.54
2014年8月19日,4496.94
2014年8月20日,4497.4
2014年8月21日,4495.44
2014年8月22日,4521.75
2014年8月25日,4487.14
2014年8月26日,4407.59
2014年8月27日,4421.21
2014年8月28日,4381.49
2014年8月29日,4427.88
2014年9月1日,4507.44
2014年9月2日,4576.12
2014年9月3日,4608.56
2014年9月4日,4647.89
2014年9月5日,4666.47
2014年9月9日,4701.7
2014年9月10日,4709.91
2014年9月11日,4704.94
2014年9月12日,4756.95
2014年9月15日,4807.56
2014年9月16日,4645.55
2014年9月17日,4686.05
2014年9月18日,4719.01
2014年9月19日,4758.73
2014年9月22日,4694.23
2014年9月23日,4754.47
2014年9月24日,4815.71
2014年9月25日,4814.74
2014年9月26日,4829.93
2014年9月29日,4877.44
2014年9月30日,4916.12
2014年10月8日,4993.53
2014年10月9日,5004
2014年10月10日,4981.85
2014年10月13日,4982.68
2014年10月14日,4966.08
2014年10月15日,4987.71
2014年10月16日,4906.24
2014年10月17日,4860.73
2014年10月20日,4929.16
2014年10月21日,4884.02
2014年10月22日,4825.61
2014年10月23日,4755.23
2014年10月24日,4774.67
2014年10月27日,4809.52
2014年10月28日,4924.96
2014年10月29日,4991.76
2014年10月30日,4992.63
2014年10月31日,4986.42
2014年11月3日,5028.7
2014年11月4日,5003.47
2014年11月5日,4995.44
2014年11月6日,5024.85
2014年11月7日,4977.25
2014年11月10日,5031
2014年11月11日,4881.48
2014年11月12日,4965.38
2014年11月13日,4921.67
2014年11月14日,4909.61
2014年11月17日,4958.47
2014年11月18日,4967.65
2014年11月19日,4985.1
2014年11月20日,4974.63
2014年11月21日,5029.77
2014年11月24日,5112.12
2014年11月25日,5189
2014年11月26日,5214.21
