日期,求和项:收盘
2011年6月16日,11435.99
2011年6月17日,11409.16
2011年6月20日,11328.67
2011年6月21日,11509.98
2011年6月22日,11543.65
2011年6月23日,11775.32
2011年6月24日,11996.08
2011年6月27日,12026.29
2011年6月28日,12047.09
2011年6月29日,11913.2
2011年6月30日,12110.93
2011年7月1日,12178.08
2011年7月4日,12441.17
2011年7月5日,12440.37
2011年7月6日,12425.68
2011年7月7日,12392.93
2011年7月8日,12404.34
2011年7月11日,12438.56
2011年7月12日,12268.19
2011年7月13日,12479.15
2011年7月14日,12440.83
2011年7月15日,12506.94
2011年7月18日,12490.55
2011年7月19日,12381.46
2011年7月20日,12393.99
2011年7月21日,12301.41
2011年7月22日,12352.5
2011年7月25日,11966.24
2011年7月26日,12008.53
2011年7月27日,12116.86
2011年7月28日,12085.92
2011年7月29日,11990.43
2011年8月1日,12002.42
2011年8月2日,11932.04
2011年8月3日,11922.37
2011年8月4日,11934.41
2011年8月5日,11701.76
2011年8月8日,11312.63
2011年8月9日,11315.08
2011年8月10日,11449.58
2011年8月11日,11627.49
2011年8月12日,11651.29
2011年8月15日,11767.74
2011年8月16日,11665.41
2011年8月17日,11598.28
2011年8月18日,11414.16
2011年8月19日,11301.53
2011年8月22日,11112.64
2011年8月23日,11243.42
2011年8月24日,11238.95
2011年8月25日,11598.93
2011年8月26日,11568.17
2011年8月29日,11372.38
2011年8月30日,11344.45
2011年8月31日,11397.48
2011年9月1日,11352.86
2011年9月2日,11228.3
2011年9月5日,10954.9
2011年9月6日,10778.43
2011年9月7日,11011.18
2011年9月8日,10933.31
2011年9月9日,10892.39
2011年9月13日,10775.3
2011年9月14日,10822.4
2011年9月15日,10848.02
2011年9月16日,10878.23
2011年9月19日,10657.62
2011年9月20日,10679.3
2011年9月21日,10991.85
2011年9月22日,10660.47
2011年9月23日,10538.4
2011年9月26日,10328.47
2011年9月27日,10448.66
2011年9月28日,10369.93
2011年9月29日,10287.9
2011年9月30日,10292.33
2011年10月10日,10170.75
2011年10月11日,10065.47
2011年10月12日,10425.93
2011年10月13日,10481.84
2011年10月14日,10438.26
2011年10月17日,10513.49
2011年10月18日,10226.93
2011年10月19日,10105.74
2011年10月20日,9796.23
2011年10月21日,9697.21
2011年10月24日,9957.62
2011年10月25日,10203.4
2011年10月26日,10315.75
2011年10月27日,10323.29
2011年10月28日,10561.99
2011年10月31日,10480.91
2011年11月1日,10441.7
2011年11月2日,10581.75
2011年11月3日,10624.12
2011年11月4日,10699.49
2011年11月7日,10591.66
2011年11月8日,10541.1
2011年11月9日,10625.88
2011年11月10日,10477.55
2011年11月11日,10418.93
2011年11月14日,10645.68
2011年11月15日,10583
2011年11月16日,10313.33
2011年11月17日,10303.16
2011年11月18日,10025.17
2011年11月21日,10033.79
2011年11月22日,10028.2
2011年11月23日,9957.32
2011年11月24日,9966.74
2011年11月25日,9886.25
2011年11月28日,9884.7
2011年11月29日,10012.94
2011年11月30日,9693.39
2011年12月1日,9917.86
2011年12月2日,9808.23
2011年12月5日,9586.08
2011年12月6日,9586.94
2011年12月7日,9606.25
2011年12月8日,9580.52
2011年12月9日,9480.27
2011年12月12日,9376.28
2011年12月13日,9190.88
2011年12月14日,9093.02
2011年12月15日,8871.09
2011年12月16日,9081.94
2011年12月19日,9054.08
2011年12月20日,9031.67
2011年12月21日,8884.25
2011年12月22日,8909.35
2011年12月23日,8976.52
2011年12月26日,8876.19
2011年12月27日,8711.55
2011年12月28日,8739.73
2011年12月29日,8781.32
2011年12月30日,8918.82
2012年1月4日,8695.99
2012年1月5日,8600.26
2012年1月6日,8634.42
2012年1月9日,8946.08
2012年1月10日,9281.25
2012年1月11日,9239.21
2012年1月12日,9200.93
2012年1月13日,9030.59
2012年1月16日,8827.47
2012年1月17日,9264.09
2012年1月18日,9115.27
2012年1月19日,9300.22
2012年1月20日,9466.14
2012年1月30日,9274.85
2012年1月31日,9303.65
2012年2月1日,9193.39
2012年2月2日,9382.13
2012年2月3日,9436.99
2012年2月6日,9448.64
2012年2月7日,9266.71
2012年2月8日,9557.58
2012年2月9日,9560.73
2012年2月10日,9590.95
2012年2月13日,9585.08
2012年2月14日,9543.77
2012年2月15日,9673.44
2012年2月16日,9622.83
2012年2月17日,9615.34
2012年2月20日,9616.65
2012年2月21日,9695.87
2012年2月22日,9862.53
2012年2月23日,9918.94
2012年2月24日,10124.15
2012年2月27日,10177.33
2012年2月28日,10161.86
2012年2月29日,10054.84
2012年3月1日,10060.96
2012年3月2日,10299.93
2012年3月5日,10226.44
2012年3月6日,10093.81
2012年3月7日,10054.86
