日期,求和项:收盘
2011年6月16日,2664.28
2011年6月17日,2642.82
2011年6月20日,2621.25
2011年6月21日,2646.48
2011年6月22日,2649.32
2011年6月23日,2688.25
2011年6月24日,2746.21
2011年6月27日,2758.23
2011年6月28日,2759.2
2011年6月29日,2728.48
2011年6月30日,2762.08
2011年7月1日,2759.36
2011年7月4日,2812.82
2011年7月5日,2816.35
2011年7月6日,2810.48
2011年7月7日,2794.27
2011年7月8日,2797.77
2011年7月11日,2802.69
2011年7月12日,2754.58
2011年7月13日,2795.48
2011年7月14日,2810.44
2011年7月15日,2820.17
2011年7月18日,2816.69
2011年7月19日,2796.98
2011年7月20日,2794.2
2011年7月21日,2765.89
2011年7月22日,2770.79
2011年7月25日,2688.75
2011年7月26日,2703.03
2011年7月27日,2723.49
2011年7月28日,2708.78
2011年7月29日,2701.73
2011年8月1日,2703.78
2011年8月2日,2679.26
2011年8月3日,2678.48
2011年8月4日,2684.04
2011年8月5日,2626.42
2011年8月8日,2526.82
2011年8月9日,2526.07
2011年8月10日,2549.18
2011年8月11日,2581.51
2011年8月12日,2593.17
2011年8月15日,2626.77
2011年8月16日,2608.17
2011年8月17日,2601.26
2011年8月18日,2559.47
2011年8月19日,2534.36
2011年8月22日,2515.86
2011年8月23日,2554.02
2011年8月24日,2541.09
2011年8月25日,2615.26
2011年8月26日,2612.19
2011年8月29日,2576.41
2011年8月30日,2566.59
2011年8月31日,2567.34
2011年9月1日,2556.04
2011年9月2日,2528.28
2011年9月5日,2478.74
2011年9月6日,2470.52
2011年9月7日,2516.09
2011年9月8日,2498.94
2011年9月9日,2497.75
2011年9月13日,2471.3
2011年9月14日,2484.83
2011年9月15日,2479.05
2011年9月16日,2482.34
2011年9月19日,2437.79
2011年9月20日,2447.76
2011年9月21日,2512.96
2011年9月22日,2443.06
2011年9月23日,2433.16
2011年9月26日,2393.18
2011年9月27日,2415.05
2011年9月28日,2392.06
2011年9月29日,2365.34
2011年9月30日,2359.22
2011年10月10日,2344.79
2011年10月11日,2348.52
2011年10月12日,2420
2011年10月13日,2438.79
2011年10月14日,2431.37
2011年10月17日,2440.4
2011年10月18日,2383.49
2011年10月19日,2377.51
2011年10月20日,2331.37
2011年10月21日,2317.28
2011年10月24日,2370.33
2011年10月25日,2409.67
2011年10月26日,2427.48
2011年10月27日,2435.61
2011年10月28日,2473.41
2011年10月31日,2468.25
2011年11月1日,2470.02
2011年11月2日,2504.11
2011年11月3日,2508.09
2011年11月4日,2528.29
2011年11月7日,2509.8
2011年11月8日,2503.84
2011年11月9日,2524.92
2011年11月10日,2479.54
2011年11月11日,2481.08
2011年11月14日,2528.71
2011年11月15日,2529.76
2011年11月16日,2466.96
2011年11月17日,2463.05
2011年11月18日,2416.56
2011年11月21日,2415.13
2011年11月22日,2412.63
2011年11月23日,2395.06
2011年11月24日,2397.55
2011年11月25日,2380.22
2011年11月28日,2383.03
2011年11月29日,2412.39
2011年11月30日,2333.41
2011年12月1日,2386.86
2011年12月2日,2360.66
2011年12月5日,2333.23
2011年12月6日,2325.9
2011年12月7日,2332.73
2011年12月8日,2329.82
2011年12月9日,2315.27
2011年12月12日,2291.54
2011年12月13日,2248.59
2011年12月14日,2228.53
2011年12月15日,2180.9
2011年12月16日,2224.84
2011年12月19日,2218.24
2011年12月20日,2215.93
2011年12月21日,2191.15
2011年12月22日,2186.3
2011年12月23日,2204.78
2011年12月26日,2190.11
2011年12月27日,2166.21
2011年12月28日,2170.01
2011年12月29日,2173.56
2011年12月30日,2199.42
2012年1月4日,2169.39
2012年1月5日,2148.45
2012年1月6日,2163.39
2012年1月9日,2225.89
2012年1月10日,2285.74
2012年1月11日,2276.05
2012年1月12日,2275.01
2012年1月13日,2244.58
2012年1月16日,2206.19
2012年1月17日,2298.38
2012年1月18日,2266.38
2012年1月19日,2296.08
2012年1月20日,2319.12
2012年1月30日,2285.04
2012年1月31日,2292.61
2012年2月1日,2268.08
2012年2月2日,2312.56
2012年2月3日,2330.4
2012年2月6日,2331.14
2012年2月7日,2291.9
2012年2月8日,2347.53
2012年2月9日,2349.59
2012年2月10日,2351.98
2012年2月13日,2351.85
2012年2月14日,2344.77
2012年2月15日,2366.7
2012年2月16日,2356.86
2012年2月17日,2357.18
2012年2月20日,2363.6
2012年2月21日,2381.43
2012年2月22日,2403.59
2012年2月23日,2409.55
2012年2月24日,2439.63
2012年2月27日,2447.06
2012年2月28日,2451.86
2012年2月29日,2428.49
2012年3月1日,2426.11
2012年3月2日,2460.69
2012年3月5日,2445
2012年3月6日,2410.45
2012年3月7日,2394.79
2012年3月8日,2420.28
2012年3月9日,2439.46
2012年3月12日,2434.86
2012年3月13日,2455.79
2012年3月14日,2391.23
2012年3月15日,2373.77
2012年3月16日,2404.74
2012年3月19日,2410.18
2012年3月20日,2376.84
2012年3月21日,2378.2
2012年3月22日,2375.77
2012年3月23日,2349.54
2012年3月26日,2350.6
2012年3月27日,2347.18
2012年3月28日,2284.88
2012年3月29日,2252.16
2012年3月30日,2262.79
2012年4月5日,2302.24
2012年4月6日,2306.55
2012年4月9日,2285.78
2012年4月10日,2305.86
2012年4月11日,2308.92
2012年4月12日,2350.86
2012年4月13日,2359.16
2012年4月16日,2357.03
2012年4月17日,2334.98
2012年4月18日,2380.85
2012年4月19日,2378.63
2012年4月20日,2406.86
2012年4月23日,2388.59
2012年4月24日,2388.83
2012年4月25日,2406.81
2012年4月26日,2404.7
2012年4月27日,2396.32
2012年5月2日,2438.44
2012年5月3日,2440.08
2012年5月4日,2452.01
2012年5月7日,2451.95
2012年5月8日,2448.88
2012年5月9日,2408.59
2012年5月10日,2410.23
2012年5月11日,2394.98
2012年5月14日,2380.73
2012年5月15日,2374.84
2012年5月16日,2346.19
2012年5月17日,2378.89
2012年5月18日,2344.52
2012年5月21日,2348.3
2012年5月22日,2373.31
2012年5月23日,2363.44
2012年5月24日,2350.97
2012年5月25日,2333.55
2012年5月28日,2361.37
2012年5月29日,2389.64
2012年5月30日,2384.67
2012年5月31日,2372.23
2012年6月1日,2373.44
2012年6月4日,2308.55
2012年6月5日,2311.92
2012年6月6日,2309.55
2012年6月7日,2293.13
2012年6月8日,2281.45
2012年6月11日,2305.86
2012年6月12日,2289.79
2012年6月13日,2318.92
2012年6月14日,2295.95
2012年6月15日,2306.85
2012年6月18日,2316.05
2012年6月19日,2300.8
2012年6月20日,2292.88
2012年6月21日,2260.88
2012年6月25日,2224.11
2012年6月26日,2222.07
2012年6月27日,2216.93
2012年6月28日,2195.84
2012年6月29日,2225.43
2012年7月2日,2226.11
2012年7月3日,2229.19
2012年7月4日,2227.31
2012年7月5日,2201.35
2012年7月6日,2223.58
2012年7月9日,2170.81
2012年7月10日,2164.44
2012年7月11日,2175.38
2012年7月12日,2185.49
2012年7月13日,2185.89
2012年7月16日,2147.96
2012年7月17日,2161.19
2012年7月18日,2169.1
2012年7月19日,2184.84
2012年7月20日,2168.64
2012年7月23日,2141.4
2012年7月24日,2146.59
2012年7月25日,2136.15
2012年7月26日,2126
2012年7月27日,2128.76
2012年7月30日,2109.91
2012年7月31日,2103.63
2012年8月1日,2123.36
2012年8月2日,2111.18
2012年8月3日,2132.8
2012年8月6日,2154.92
2012年8月7日,2157.62
2012年8月8日,2160.99
2012年8月9日,2174.1
2012年8月10日,2168.81
2012年8月13日,2136.08
2012年8月14日,2142.52
2012年8月15日,2118.94
2012年8月16日,2112.2
2012年8月17日,2114.89
2012年8月20日,2106.96
2012年8月21日,2118.27
2012年8月22日,2107.71
2012年8月23日,2113.07
2012年8月24日,2092.1
2012年8月27日,2055.71
2012年8月28日,2073.15
2012年8月29日,2053.23
2012年8月30日,2052.58
2012年8月31日,2047.52
2012年9月3日,2059.15
2012年9月4日,2043.65
2012年9月5日,2037.68
2012年9月6日,2051.92
2012年9月7日,2127.76
