日期,求和项:收盘
2011年6月17日,1912.38
2011年6月20日,1904.8
2011年6月21日,1923.82
2011年6月22日,1923.56
2011年6月23日,1950.87
2011年6月24日,1997.3
2011年6月27日,1994.58
2011年6月28日,1993.72
2011年6月29日,1960.77
2011年6月30日,1989.43
2011年7月1日,1986.03
2011年7月4日,2033.85
2011年7月5日,2029.62
2011年7月6日,2017.17
2011年7月7日,2006.14
2011年7月8日,2014.73
2011年7月11日,2010.69
2011年7月12日,1968.08
2011年7月13日,1998.41
2011年7月14日,2005.75
2011年7月15日,2012.03
2011年7月18日,2002.83
2011年7月19日,1988.3
2011年7月20日,1983.67
2011年7月21日,1961.3
2011年7月22日,1964.83
2011年7月25日,1909.81
2011年7月26日,1914.15
2011年7月27日,1918.79
2011年7月28日,1900.22
2011年7月29日,1908.21
2011年8月1日,1909.95
2011年8月2日,1894.32
2011年8月3日,1893
2011年8月4日,1895.43
2011年8月5日,1850.14
2011年8月8日,1794.43
2011年8月9日,1801.82
2011年8月10日,1814.67
2011年8月11日,1840.29
2011年8月12日,1838.16
2011年8月15日,1872.39
2011年8月16日,1862.89
2011年8月17日,1858.3
2011年8月18日,1824.86
2011年8月19日,1806.28
2011年8月22日,1790.14
2011年8月23日,1821.19
2011年8月24日,1806.79
2011年8月25日,1878.48
2011年8月26日,1876.33
2011年8月29日,1836.88
2011年8月30日,1835.07
2011年8月31日,1841.54
2011年9月1日,1840.37
2011年9月2日,1820.68
2011年9月5日,1786.46
2011年9月6日,1779.52
2011年9月7日,1813.86
2011年9月8日,1799.78
2011年9月9日,1800.93
2011年9月13日,1783.18
2011年9月14日,1787.12
2011年9月15日,1779.68
2011年9月16日,1784.93
2011年9月19日,1749.7
2011年9月20日,1757.64
2011年9月21日,1808.37
2011年9月22日,1750.61
2011年9月23日,1740.32
2011年9月26日,1689.93
2011年9月27日,1710.99
2011年9月28日,1695.84
2011年9月29日,1689.54
2011年9月30日,1684.5
2011年10月10日,1669.35
2011年10月11日,1675.42
2011年10月12日,1737.36
2011年10月13日,1746.94
2011年10月14日,1745.21
2011年10月17日,1757.06
2011年10月18日,1709.28
2011年10月19日,1708.95
